"3 Melancholy Gypsys Radio","3 Melancholy Gypsys","Hear songs by 3 Melancholy Gypsys, Scarub, Sunspot Jonz, Eligh, and more.","","Scarub, Sunspot Jonz, Eligh, Abstract Rude, Mystik Journeymen, Luckyiam, The Grouch, Cma, Living Legends, Pep Love, Aceyalone, 2Mex, The Visionaries, A-Plus, Opio, The Grouch &amp; Eligh, Abstract Tribe Unique, ","Indie Rap Era, Left-Field Hip Hop, From the Hip Hop Laboratory , Essential Turntablism, &#39;90s Backpacker Hip Hop, Beats Without Rhymes, Instrumental Hip Hop, New York City Rent Party , Produced by J Dilla, 808s &amp; Brass, Produced by Pete Rock, Rainy Day Hip Hop, Ninja Tune Records, Produced by DJ Premier, Soul-Soaked Samples, "
"Essential Reggaeton","By Google Play Music","Featuring the early staples and today&#39;s worldwide hits","","J Balvin, Daddy Yankee, Yandel, Don Omar, Wisin &amp; Yandel, Maluma, Wisin, Zion &amp; Lennox, Nicky Jam, Sebastián Yatra, Ozuna, Justin Quiles, J Alvarez, Farruko, CNCO, Becky G, ","The world of Yandel, Calentura,  Pop Tropical Bailable, Reggaeton vs. Bachata, Family Approved Reggaeton Party, Cena Latina, Reggaetón essentials, Sale el Sol, Wild Perreo!, Reggaeton flow, Happy Hour Latino, Zumba Latina, Latin Pool Party, Latin Pop under the Sun, Latin Takeover 2017, Dancing With the Broom, "
"Everywhere I Go Radio","Hollywood Undead","Hear songs by Hollywood Undead, Deuce, Three Days Grace, My Darkest Days, and more.","","Deuce, Three Days Grace, Hollywood Undead, My Darkest Days, Papa Roach, Disturbed, Five Finger Death Punch, Breaking Benjamin, Avenged Sevenfold, Skillet, Theory Of A Deadman, Black Veil Brides, Escape The Fate, Falling In Reverse, Bullet For My Valentine, Seether, ","Adrenaline-Boosting Rap &amp; Metal, &#39;00s Aggro Anthems, Bodies Hit the Floor: FPS Rock, The World of Eminem, Modern Rock Uprising, Rap-Metal Adrenaline Boost, Hard Rock, Hard Bod, Rage Rock, Metal &amp; Rock Headliners, Raging Through the Ages, Metal Power for Video Games, Lose Yourself, Let&#39;s Race: Songs for Sled Heads, Ozzfest Through the Years, Modern Rock Hits, Zombie Metal Assault , "
"Exile Radio","Exile","Hear songs by Exile, Eddie Rabbitt, Juice Newton, Ronnie Milsap, and more.","","Eddie Rabbitt, Juice Newton, Ronnie Milsap, Mac Davis, Janie Fricke, Restless Heart, T.G. Sheppard, Dan Seals, The Bellamy Brothers, T. Graham Brown, Sylvia, Mickey Gilley, Barbara Mandrell, Eddy Raven, Johnny Lee, Tanya Tucker, Charly McClain, ","Classic Countrypolitan, First Dance Country Ballads, &#39;70s Soft Pop, Real Country: &#39;80s and &#39;90s Hits, Classic Country Tales, Neotraditional Country, Truck Driving Honky-Tonk, Queens of Country, Hello Hangover, Lone Star and Brisket, Yacht Rock, Nashville Was Never The Same, Cryin&#39; Time Country, Rolling Stone&#39;s 100 Greatest Country Songs, &#39;70s Outlaw Country, Patriotic Country, "
"Exoskeletons Remix (Deluxe Bonus) [feat. Apathy, Psych Ward &amp; Celph Titled] Radio","Reel Wolf","Hear songs by Reel Wolf, Slaine, Evil Ebenezer, Ill Bill, and more.","","Slaine, Evil Ebenezer, Ill Bill, Necro, Diabolic, Madchild, Sicknature, Snowgoons, Vinnie Paz, Doap Nixon, La Coka Nostra, Demigodz, Q-Unique, Apathy, Outerspace, Celph Titled, ","Rainy Day Hip Hop, Mind of a Lunatic: &#39;90s Horrorcore Rap, Indie Rap Era, &#39;90s Backpacker Hip Hop, New York State of Mind, Stuntin&#39; Like My Daddy, A Hip Hop Party in Canada, From the Hip Hop Laboratory , The World of Wu-Tang Clan, Produced by Pete Rock, Produced by DJ Premier, 1993: East Coast Mic Wreckas, Fight the Power, Death Metal, Rap-Rock Revolution, Stuck Off the Realness: R.I.P. Prodigy, "
"Fantasy Radio","Tom Ugly","Hear songs by Tom Ugly, Faker, End of Fashion, Sparkadia, and more.","","Faker, End of Fashion, Sparkadia, Little Birdy, Little Red, Dallas Crane, Regurgitator, Gyroscope, The Panics, Something for Kate, Jebediah, Bob Evans, Bluejuice, Oh Mercy, Eskimo Joe, Waikiki, ","Dance Party Down Under, Background Indie, NYC Indie Dance, Like Miike, &#39;00s Indie Dance Party, Time to Pretend: Psychedelic Electro-Indie, Gettin&#39; Synthy With It, Rock Music From &#39;Skins: UK&#39;, Psychedelic Indie, The Walk, Indie Under Pressure, &#39;00s Indie Rock Scene, At The Farmer&#39;s Market, Morning Indie Boogie, Freshly Squeezed , Cinematic Daydreams , "
"Fatboy Slim Radio","Fatboy Slim","Hear songs by Fatboy Slim, The Chemical Brothers, Basement Jaxx, The Prodigy, and more.","","The Chemical Brothers, Basement Jaxx, The Prodigy, Groove Armada, Apollo 440, Pizzaman, Underworld, Leftfield, Freestylers, Armand Van Helden, Propellerheads, Audio Bullys, Utah Saints, The Wiseguys, Mint Royale, Moby, Faithless, ","&#39;90s Dance Crossover, PLUR: At a &#39;90s Rave, Analogue Bubblebath, 303s at 3 a.m., Harder Better Faster Stronger, The World of the Beastie Boys, Essential House, Essential Turntablism, Trip Hop, Code Your Face Off, Beach Grooves, Get Back to the 90s, Trip Hop Instrumentals, The French Touch, The World of Gorillaz, &#39;00s Indie Electro-Bangers, "
"Feedback Loop Radio","Tuka","Hear songs by Tuka, Thundamentals, Horrorshow, Urthboy, and more.","","Tuka, Thundamentals, Horrorshow, Urthboy, Spit Syndicate, REMI, Jackie Onassis, Drapht, Seth Sentry, PEZ, One Day, Citizen Kay, Illy, Joelistics, Muph &amp; Plutonic, Dialectrix, ","Dance Party Down Under, The Future is Female, Background Indie, Blissed-Out Romance, Chill Indie Beats, Electronic Artists to Watch 2018, SXSW 2018: Rising Pop &amp; Electronic, Indie Artists to Watch 2018, EDM Rap Attack, Noise Rap, Freshly Squeezed , The Side Stage, Made in the Shade, The Walk, SXSW 2018: Rising Alt/Indie, Songs with Palms, "
"FIDLAR Radio","FIDLAR","Hear songs by FIDLAR, The Orwells, Wavves, Bass Drum of Death, and more.","","FIDLAR, The Orwells, Wavves, Bass Drum of Death, together PANGEA, Skaters, Bleeding Knees Club, The Frights, The Growlers, Ty Segall, Twin Peaks, PUP, King Tuff, Tijuana Panthers, White Reaper, Broncho, ","Left Lane Lo-Fi, Guitars &amp; PBRs, Indie Children of the &#39;90s, Flying the Anti-Flag, Eat My Shorts, Indie Under Pressure, BAD PARTY, New Adventures In Lo-Fi, Railroad Tracks, NXNE: The 20th Anniversary, Retro Indie Rock, Lo-Fi: Yesterday and Today, Children of The Velvet Underground, Teenage Riot: The American &#39;80s Underground, Torontopia, Beach Cruiser Indie Pop, "
"FIDLAR Radio","FIDLAR","Hear songs by FIDLAR, The Orwells, Wavves, Bass Drum of Death, and more.","","The Orwells, Wavves, Bass Drum of Death, together PANGEA, Skaters, Bleeding Knees Club, The Frights, Twin Peaks, Dune Rats, Tijuana Panthers, White Reaper, Broncho, PUP, King Tuff, DZ Deathrays, Cherry Glazerr, Ty Segall, ","Left Lane Lo-Fi, Guitars &amp; PBRs, Indie Children of the &#39;90s, Eat My Shorts, Flying the Anti-Flag, Indie Under Pressure, BAD PARTY, New Adventures In Lo-Fi, NXNE: The 20th Anniversary, Railroad Tracks, Children of The Velvet Underground, Retro Indie Rock, Lo-Fi: Yesterday and Today, Punk Hotlist, Short Skirt, Leather Jacket, SXSW 2018: Rising Rock &amp; Metal, "
"Fly My Pretties Radio","Fly My Pretties","Hear songs by Fly My Pretties, Trinity Roots, Salmonella Dub, Tiki Taane, and more.","","Trinity Roots, Salmonella Dub, Tiki Taane, Hollie Smith, The Black Seeds, Tahuna Breaks, Little Bushman, Cornerstone Roots, Supergroove, Ladi6, dDub, Kora, The Feelers, Dave Dobbyn, Goldenhorse, Opshop, Opensouls, ","Reggae Ohana, Reggae Relaxation, Jahmerican Summer, The World of The Wailers, Roots &amp; Technology: Dub, Beach Grooves, The World of Bob Marley, Essential Reggae, Background Indie, Dub Foundations, Reggae Runners, Reggae Hotlist, Black Star Line: Roots Reggae, Rasta Vibes, Studio One, Catch A Fire, "
"Flow Superior","By Google Play Music","This one&#39;s for the real hip hop heads.","","Jay Rock, J. Cole, Mozzy, Drake, Pusha T, Wale, Logic, Meek Mill, Nipsey Hussle, The Carters, Royce Da 5&#39;9&quot;, Dave East, Jack Harlow, Nick Grant, Bas, Boogie, ","Laid-Back Hip Hop, Rap Star Status, Walking Paradox, The Fall 2017 Mixtape, Clout Rising, SXSW 2018: Rising Rap and R&amp;B, Hip Hop and R&amp;B Hotlist, Vibes on Deck, Hip Hop Artists to Watch 2018, Sundown Sounds, Kendrick Lamar and the World of TDE, R&amp;B Hotlist, The Block Is Hot, 2018 Rap and R&amp;B Grammy Nominees, The World of Murda Beatz , Music from Insecure, "
"Fuck Tony Montana (feat. Sick Jacken of Psycho Realm &amp; B-Real of Cypress Hill) Radio","La Coka Nostra","Hear songs by La Coka Nostra, Slaine, Ill Bill, Snowgoons, and more.","","Slaine, Ill Bill, Snowgoons, Army of the Pharaohs, Vinnie Paz, Diabolic, Diabolic, Necro, Outerspace, Jedi Mind Tricks, Reel Wolf, Sicknature, R.A. The Rugged Man, Doap Nixon, Madchild, Demigodz, ","The World of Wu-Tang Clan, Rainy Day Hip Hop, New York State of Mind, Haunted Hip Hop, Rap-Rock Revolution, Featuring Nate Dogg, 1993: East Coast Mic Wreckas, Stuck Off the Realness: R.I.P. Prodigy, Mind of a Lunatic: &#39;90s Horrorcore Rap, Stuntin&#39; Like My Daddy, Bring Da Ruckus, Fight the Power, Produced by DJ Premier, St. Ides Sippin&#39;, Posse In Effect, Lowridin&#39;, "
"Funeral Disco Radio","JJ Demon","Hear songs by JJ Demon, Blood On The Dance Floor, Dot Dot Curve, Vampires Everywhere!, and more.","","Blood On The Dance Floor, JJ Demon, Dot Dot Curve, Vampires Everywhere!, Snow White&#39;s Poison Bite, JayyVon, Master Of Death, Farewell, My Love, Brokencyde, Ghost Town, Consider Me Dead, The Relapse Symphony, Sew Intricate, Social Repose, CatchingYourClouds, Onision, ","Warped Tour, Screamo Out Loud!, Zombie Metal Assault , Pop Punk Now, The Nu-Metal Resurgence, The Screamo Society, Pop-Punk Party-Starters, Deathcore Apocalypse, Nightmare City Punk, Essential J-Pop, On The Industrial Dance Floor, I&#39;m My Own High School Musical!, Metalcore, From the Chelsea Hotel, "
"Grand Caravan To The Rim Of The World Radio","3 Melancholy Gypsys","Hear songs by 3 Melancholy Gypsys, Eligh, Sunspot Jonz, Abstract Rude, and more.","","Eligh, Sunspot Jonz, Abstract Rude, The Grouch, Aceyalone, Scarub, Living Legends, Mystik Journeymen, Zion I, The Grouch &amp; Eligh, Blueprint, Moka Only, Pep Love, Louis Logic, The Visionaries, Grayskul, ","Indie Rap Era, Left-Field Hip Hop, From the Hip Hop Laboratory , Beats Without Rhymes, Instrumental Hip Hop, Essential Turntablism, &#39;90s Backpacker Hip Hop, New York City Rent Party , Produced by J Dilla, 808s &amp; Brass, Rainy Day Hip Hop, Produced by Pete Rock, Ninja Tune Records, Soulful Instrumentals &amp; Pensive Beats, Soul-Soaked Samples, "
"Greatest Hits Radio","blink-182","Hear songs by blink-182, Sum 41, +44, Box Car Racer, and more.","","blink-182, Sum 41, +44, Box Car Racer, Good Charlotte, Green Day, Angels &amp; Airwaves, Peter Mosely, Sean Mackin, Yellowcard, New Found Glory, Jimmy Eat World, The All-American Rejects, The Offspring, Weezer, Tom DeLonge, ","True Teenage Romance, Fall Out Boys: &#39;00s Pop-Punk, Pop-Punk Primer, Emo-Pop, &#39;90s Pop-Punk, We Gotta Get Out of This Town, Mellow Pop-Punk, Pop-Punk Party-Starters, Alt-Rock Punk-Pop Party, Full-Bore Punk &amp; Hardcore, SoCal Summer, Punk Rock Love , Pop Punk Now, &#39;00s Aggro Anthems, &#39;90s Alternative Rock, &#39;90s Frat BBQ, "
"GZA Radio","GZA","Hear songs by GZA, Ghostface Killah, Raekwon, Inspectah Deck, and more.","","Ghostface Killah, Raekwon, Inspectah Deck, Masta Killa, Big L, RZA, Gang Starr, U-God, Wu-Tang Clan, Ol&#39; Dirty Bastard, Gravediggaz, Jeru the Damaja, The Beatnuts, KRS-One, Rakim, Kool G Rap, Cappadonna, ","Produced by Pete Rock, The World of Wu-Tang Clan, East Coast Cold Front, New York State of Mind, Produced by DJ Premier, Illmatic: The Producers, St. Ides Sippin&#39;, Indie Rap Era, 1993: East Coast Mic Wreckas, Bring Da Ruckus, We Got the Jazz, Rainy Day Hip Hop, Stuck Off the Realness: R.I.P. Prodigy, Produced by J Dilla, &#39;90s Backpacker Hip Hop, Native Tongues 101, "
"Hallway Homicide Radio","The Orwells","Hear songs by The Orwells, FIDLAR, Bass Drum of Death, together PANGEA, and more.","","FIDLAR, Bass Drum of Death, together PANGEA, Skaters, Broncho, Twin Peaks, Wavves, Tijuana Panthers, King Tuff, The Frights, White Reaper, The Growlers, Drowners, Cherry Glazerr, The Districts, The Orwells, ","Guitars &amp; PBRs, Left Lane Lo-Fi, Indie Children of the &#39;90s, Eat My Shorts, New Adventures In Lo-Fi, Indie Under Pressure, BAD PARTY, Flying the Anti-Flag, Retro Indie Rock, Children of The Velvet Underground, Lo-Fi: Yesterday and Today, NXNE: The 20th Anniversary, Cozy Up Indie, End of Summer Blues, Tar Beach Lullabies, Campfire Indie, "
"Heart Attack (Instrumental) Radio","Necro","Hear songs by Necro, Ill Bill, The Circle of Tyrants, Apathy, and more.","","Necro, Ill Bill, The Circle of Tyrants, Apathy, Celph Titled, Snowgoons, Q-Unique, Slaine, Doap Nixon, Diabolic, Outerspace, Reel Wolf, Demigodz, King Syze, DJ Muggs, Vinnie Paz, ","Mind of a Lunatic: &#39;90s Horrorcore Rap, Produced by Pete Rock, Indie Rap Era, New York State of Mind, 1993: East Coast Mic Wreckas, Rainy Day Hip Hop, The World of Wu-Tang Clan, East Coast Cold Front, Produced by DJ Premier, Hey Mr. DJ!, Illmatic: The Producers, From the Hip Hop Laboratory , &#39;90s Backpacker Hip Hop, Stuck Off the Realness: R.I.P. Prodigy, Beat Dis!, "
"Highway of Endless Dreams","By Google Play Music","Looking to return to a dream you woke from too early? These ambient, shoegazer, and electronic tunes will create a unique dream-like atmosphere to help you get back there.","","M83, Burial, Eluvium, Dntel, Caribou, Cut Copy, The Antlers, Múm, Bell Orchestre, Dan Deacon, James Blake, Grimes, Ratatat, Stars of the Lid, Deerhunter, jj, ","Cosmic Indie Pop, Sleepy Indie Synths, On a Cold, Clear Night , Evocative Instrumentals, A Restful Ride, Scandinavian Stargazing, Concrete Cool-Down, Balearic Stroll Through the Rain, Bedroom Chillout, Blank Page, Celestial Instrumentals, Indie Instrumentals, Spectral Electro, The Comedown, Lost in the Northern Lights, Indie Yoga, "
"Hip Christmas Party","By Google Play Music","Give your Christmas party a timelessly cool soundtrack with this collection of stylish stocking stuffers from the &#39;50s to today.","","Elvis Presley, Sharon Jones &amp; The Dap-Kings, Chuck Berry, The Ronettes, Otis Redding, Pearl Bailey, Michael Bublé, Bing Crosby, Frank Sinatra, The Drifters, The Beach Boys, Darlene Love, Vince Guaraldi, Donny Hathaway, Aretha Franklin, The Jackson 5, ","Feeling the Holiday Spirit With Jbunzie, Mariah&#39;s Merry Christmas, Cheesy Christmas, The World of Nat &quot;King&quot; Cole, For Sinatra Fans, Alla Famiglia!, Martini Swing, High Society Swing, Tiki Bar, I Put a Spell on You: Halloween Jazz, Lush and Plush, The Way You Look Tonight, Oscar-Winning Songs, Pumpkin Carvin&#39; Party, Grandpa&#39;s Naptime, Songs of Childlike Wonder, "
"I Love Work Radio","Butterfingers","Hear songs by Butterfingers, The Herd, Grinspoon, Urthboy, and more.","","The Herd, Grinspoon, Urthboy, TZU, Muph &amp; Plutonic, Drapht, Bluejuice, Regurgitator, Downsyde, Thundamentals, Gyroscope, Seth Sentry, Powderfinger, Horrorshow, A.B. Original, Pegz, ","Full-Bore Punk &amp; Hardcore, Dance Party Down Under, &#39;90s Aggro Anthems, Rap-Rock Revolution, Music From &#39;Daria&#39;, Alt-Rock Punk-Pop Party, Background Indie, Prepartying like Tyrion Lannister, EDM Rap Attack, Teenage Mutant Zombie Dirtbags, Lollapalooza&#39;s First Era, The Future is Female, &#39;90s Pop-Punk, The World of the Beastie Boys, &#39;90s Frat BBQ, Downhill Racer, "
"Indie Under Pressure","By Google Play Music","Light a fire under your butt and get moving with these propulsive, energetic songs from bands that have a keen sense of urgency.","","The Strokes, The Dodos, Delta Spirit, Future Islands, Arcade Fire, Cold War Kids, The Vines, Bloc Party, The Heavy, Twin Peaks, Japanther, Modest Mouse, Gnarls Barkley, TV On The Radio, The Walkmen, Mother Mother, ","Guitars &amp; PBRs, NXNE: The 20th Anniversary, Retro Indie Rock, Beach Cruiser Indie Pop, &#39;00s Indie Rock Scene, Left Lane Lo-Fi, Music from Surf Movies, Psychedelic Indie, Summer Fridays, Sun Streaming, &#39;00s Canadian Indie Scene, Short Skirt, Leather Jacket, Tar Beach Lullabies, Concrete Cool-Down, Crowd-Pleasing Indie, Indie Makeout, "
"Instant Messengers Radio","Instant Messengers","Hear songs by Instant Messengers, Zion I, Main Flow, Zion I And The Grouch, and more.","","Zion I, Main Flow, Zion I And The Grouch, BK-One, Sunspot Jonz, Lifesavas, Luckyiam, The Grouch, Living Legends, Asamov, Toki Wright, Cma, Aceyalone, Code Name: Scorpion, Gabriel Teodros, Haiku D&#39;Etat, The Physics, ","Indie Rap Era, Left-Field Hip Hop, Essential Turntablism, New York City Rent Party , Produced by Pete Rock, &#39;90s Backpacker Hip Hop, 808s &amp; Brass, Produced by J Dilla, From the Hip Hop Laboratory , Beats Without Rhymes, Produced by DJ Premier, Hey Mr. DJ!, The World of Pretty Lights, We Got the Jazz, "
"ire/pump Radio","Ian Daniher","Features songs similar to those in ire/pump including Slaine, Reel Wolf, Ill Bill, and more.","","Slaine, Reel Wolf, Ill Bill, Apathy, Necro, Madchild, Swollen Members, Celph Titled, Snowgoons, Diabolic, R.A. The Rugged Man, Vinnie Paz, Demigodz, Evil Ebenezer, Army of the Pharaohs, Outerspace, ","Stuntin&#39; Like My Daddy, A Hip Hop Party in Canada, Rainy Day Hip Hop, Indie Rap Era, &#39;90s Backpacker Hip Hop, Fight the Power, Hip-Hop BMX Skate Party, Noise Rap, Rap for Indie Rock Kids, Mind of a Lunatic: &#39;90s Horrorcore Rap, Lowridin&#39;, Haunted Hip Hop, New York State of Mind, The World of Eminem, The World of Wu-Tang Clan, Rap-Rock Revolution, "
"It Takes a Seven Nation Army to Hold Us Back (feat. Emilio Lopez) Radio","Apathy","Hear songs by Apathy, Celph Titled, Snowgoons, Ill Bill, and more.","","Celph Titled, Snowgoons, Ill Bill, Jedi Mind Tricks, R.A. The Rugged Man, Army of the Pharaohs, Louis Logic, Demigodz, Outerspace, Necro, Tonedeff, Slaine, 7L &amp; Esoteric, CunninLynguists, Diabolic, Diabolic, ","Indie Rap Era, A Hip Hop Party in Canada, &#39;90s Backpacker Hip Hop, Rainy Day Hip Hop, Stuntin&#39; Like My Daddy, Hip-Hop BMX Skate Party, Lowridin&#39;, Fight the Power, Rap for Indie Rock Kids, Produced by DJ Premier, Soul-Soaked Samples, The World of Wu-Tang Clan, Nap Rap, New York State of Mind, Kitchen Raps, New York City Rent Party , "
"Junip Radio","Junip","Hear songs by Junip, Other Lives, José González, Fink, and more.","","Other Lives, José González, Fink, Local Natives, The Middle East, Midlake, Efterklang, Radical Face, The Antlers, Patrick Watson, Horse Feathers, Seabear, Angus Stone, Fleet Foxes, Vetiver, Sea Wolf, Volcano Choir, ","Background Indie, Cold Gusts of Wind, Farm to Table, Scandinavian Melancholy, The World of Bon Iver, Sub Pop Reborn, At The Farmer&#39;s Market, Mellow Music From &#39;Skins: UK&#39;, Quiet and Crisp, Winter Unplugged, A Restful Ride, On a Cold, Clear Night , The Pacific Northwest Indie Scene, Indie Yoga, The Cold, Solemn North, Tar Beach Lullabies, "
"Kill Shit Radio","Krizz Kaliko","Hear songs by Krizz Kaliko, Tech N9ne, Stevie Stone, Ces Cru, and more.","","Tech N9ne, Stevie Stone, Ces Cru, ¡Mayday!, Kutt Calhoun, Prozak, Wrekonize, Wrekonize, Big Scoob, Twisted Insane, Rittz, Kutt Calhoun, JL, Hopsin, Jarren Benton, The Jokerr, ","Stuntin&#39; Like My Daddy, The World of Eminem, Lose Yourself, Noise Rap, Adrenaline-Boosting Rap &amp; Metal, Hold Me Back Bro   , Aggressive Dubstep, Dark &amp; Dirty Hip Hop, Balling Like a Lannister, Haunted Hip Hop, A Hip Hop Party in Canada, Drop It Real Low, Rage Rock, Featuring 2 Chainz, Produced by Dr. Dre, Just One of Those Days, "
"LDA Radio","FIDLAR","Hear songs like LDA",""
"Lia Ices Radio","Lia Ices","Hear songs by Lia Ices, Taken By Trees, Sharon Van Etten, Holly Miranda, and more.","","Taken By Trees, Sharon Van Etten, Holly Miranda, Sarah Jaffe, The Mynabirds, Sea of Bees, Lightning Dust, White Hinterland, Laura Gibson, El Perro del Mar, Indians, Lovers, Widowspeak, Au Revoir Simone, Glasser, Sin Fang, Lavender Diamond, ","White Wine Folk, Tar Beach Lullabies, At The Farmer&#39;s Market, Scandinavian Melancholy, The Comedown, Freak Folk, Cold Night in Canada, Indie Children of the &#39;80s, Torontopia, Mellow Music From &#39;Skins: UK&#39;, Daughters of Folk, Scandinavian Invasion, Female Indie Pop Singers, Summer Infatuation, Twee Pop Essentials, Wood &amp; Wires, "
"Madchild Radio","Madchild","Hear songs by Madchild, Snak the Ripper, Evil Ebenezer, Merkules, and more.","","Snak the Ripper, Evil Ebenezer, Merkules, Swollen Members, Caspian, Reel Wolf, Slaine, DooM SQuAD, Prada West, Geoff English, Junk, Rite Hook, Vinnie Paz, La Coka Nostra, Necro, Ill Bill, Diabolic, ","A Hip Hop Party in Canada, Stuntin&#39; Like My Daddy, 20 Years of Québecois Rap, Rainy Day Hip Hop, Mind of a Lunatic: &#39;90s Horrorcore Rap, CanRock Anthems, The World of Eminem, Rap-Rock Revolution, Ahead by a Century, Haunted Hip Hop, Fight the Power, Indie Rap Era, &#39;90s Backpacker Hip Hop, Classic Canadiana, Moonlight Swim in Canada, Noise Rap, "
"Make You Famous (Bonus Track) (feat. Block McCloud) Radio","R.A. The Rugged Man","Hear songs by R.A. The Rugged Man, Army of the Pharaohs, Apathy, Jedi Mind Tricks, and more.","","Army of the Pharaohs, Apathy, Jedi Mind Tricks, Ill Bill, Vinnie Paz, Diabolic, Celph Titled, Snowgoons, Slaine, Demigodz, Outerspace, Buckwild, Necro, Doap Nixon, Non Phixion, 7L &amp; Esoteric, ","Rainy Day Hip Hop, Indie Rap Era, Fight the Power, &#39;90s Backpacker Hip Hop, Stuntin&#39; Like My Daddy, The World of Wu-Tang Clan, Produced by DJ Premier, New York State of Mind, Hip-Hop BMX Skate Party, St. Ides Sippin&#39;, From the Hip Hop Laboratory , Stuck Off the Realness: R.I.P. Prodigy, Illmatic: The Producers, East Coast Cold Front, Soul-Soaked Samples, A Hip Hop Party in Canada, "
"Marilyn Manson Radio","Marilyn Manson","Hear songs by Marilyn Manson, Korn, Rob Zombie, Nine Inch Nails, and more.","","Korn, Rob Zombie, Nine Inch Nails, Slipknot, Static-X, Otep, Orgy, System of a Down, White Zombie, Kittie, Limp Bizkit, Coal Chamber, Dope, Murderdolls, Mindless Self Indulgence, Deftones, Mudvayne, ","Heavy Industry, Iron, Wrath &amp; Metal, Rage Rock, Just One Fix, Ozzfest Through the Years, Industrial-Strength Metal and Foundations, Metal Power for Video Games, Industrial Cardio, Bodies Hit the Floor: FPS Rock, Heavy Metal Workout, Let&#39;s Race: Songs for Sled Heads, &#39;90s Dark Wave Electrocore, Rap-Metal Adrenaline Boost, Kicking Butt Like Ronda Rousey, Louder Than Love, Metal&#39;s Ambassadors, "
"¡Mayday! Radio","¡Mayday!","Hear songs by ¡Mayday!, Ces Cru, Wrekonize, Krizz Kaliko, and more.","","Ces Cru, Wrekonize, Wrekonize, Krizz Kaliko, Stevie Stone, Prozak, Wrekonize, JL, Bernz, Tech N9ne, Kutt Calhoun, Jl B Hood, Godemis, Big Scoob, Twisted Insane, Aqualeo, Ubiquitous, ","Stuntin&#39; Like My Daddy, Noise Rap, Rainy Day Hip Hop, Indie Rap Era, From the Hip Hop Laboratory , The Nu-Metal Resurgence, Heavy On The Pedal, Cloud Rap, Mind of a Lunatic: &#39;90s Horrorcore Rap, Reggae Ohana, Dark &amp; Dirty Hip Hop, A Hip Hop Party in Canada, Fight the Power, The World of Eminem, &#39;90s Backpacker Hip Hop, Dark &amp; Twisted, "
"Mellow Indie","By Google Play Music","These mellow indie tunes are the perfect soundtrack for working, studying or just relaxing.","","Sufjan Stevens, The National, The Shins, Iron &amp; Wine, The Barr Brothers, Local Natives, S. Carey, Mac DeMarco, Mimicking Birds, Fenne Lily, Angelo De Augustine, Kaleo, José González, Cat Power, Bon Iver, Daughter, ","Midnight Melancholy, Coffee Shop Blend, Sunshine Indie, Another Lonely Night in New York, Mystical Indie Muses, Indie Folk Favorites, To Wander &amp; Wonder, Indie Artists to Watch 2018, Chill Indie Beats, Epic Indie Motivation, Coolest New Indie of 2017, Dream Pop, Campfire Indie, Cozy Up Indie, Sons of Folk, Songs with Palms, "
"Miriams Song Radio","TZU","Hear songs by TZU, The Herd, Urthboy, Muph &amp; Plutonic, and more.","","The Herd, Urthboy, Muph &amp; Plutonic, Downsyde, Astronomy Class, 1200 Techniques, Dialectrix, Joelistics, Pegz, Horrorshow, Spit Syndicate, Butterfingers, Drapht, Thundamentals, Tuka, Mantra, ","Dance Party Down Under, Background Indie, Essential Turntablism, Indie Rap Era, Full-Bore Punk &amp; Hardcore, Prepartying like Tyrion Lannister, Ninja Tune Records, A Hip Hop Party in Canada, New York City Rent Party , Electro-Swing, &#39;90s Backpacker Hip Hop, Like Miike, Bouncy Bass Nod, Stuntin&#39; Like My Daddy, Chilled with a Twist: Soul &amp; Jazz Remixed, Left-Field Hip Hop, "
"Monster Radio","Madchild","Hear songs like Monster",""
